action_representation_interet_id;responsable_public;departement_ministeriel;responsable_public_ou_dpt_ministeriel_autre
3859;Membre du Gouvernement ou membre de cabinet ministériel;Premier ministre;
3859;Membre du Gouvernement ou membre de cabinet ministériel; Economie et finances;
3859;Membre du Gouvernement ou membre de cabinet ministériel - Premier ministre, Economie et finances;;
3860;Membre du Gouvernement ou membre de cabinet ministériel;Economie et finances;
3860;Membre du Gouvernement ou membre de cabinet ministériel - Economie et finances;;
3861;Membre du Gouvernement ou membre de cabinet ministériel;Affaires étrangères et développement international;
3861;Membre du Gouvernement ou membre de cabinet ministériel - Affaires étrangères et développement international;;
3862;Membre du Gouvernement ou membre de cabinet ministériel;Intérieur;
3862;Membre du Gouvernement ou membre de cabinet ministériel - Intérieur;;
3864;Membre du Gouvernement ou membre de cabinet ministériel;Intérieur;
3864;Membre du Gouvernement ou membre de cabinet ministériel - Intérieur;;
3866;Membre du Gouvernement ou membre de cabinet ministériel;Premier ministre;
3866;Membre du Gouvernement ou membre de cabinet ministériel - Premier ministre;;
3867;Membre du Gouvernement ou membre de cabinet ministériel;Affaires étrangères et développement international;
3867;Membre du Gouvernement ou membre de cabinet ministériel - Affaires étrangères et développement international;;
3868;Membre du Gouvernement ou membre de cabinet ministériel;Intérieur;
3868;Membre du Gouvernement ou membre de cabinet ministériel - Intérieur;;
3869;Membre du Gouvernement ou membre de cabinet ministériel;Economie et finances;
3869;Membre du Gouvernement ou membre de cabinet ministériel - Economie et finances;;
3870;Membre du Gouvernement ou membre de cabinet ministériel;Economie et finances;
3870;Membre du Gouvernement ou membre de cabinet ministériel - Economie et finances;;
3871;Membre du Gouvernement ou membre de cabinet ministériel;Intérieur;
3871;Membre du Gouvernement ou membre de cabinet ministériel - Intérieur;;
3872;Membre du Gouvernement ou membre de cabinet ministériel;Economie et finances;
3872;Membre du Gouvernement ou membre de cabinet ministériel; Affaires étrangères et développement international;
3872;Membre du Gouvernement ou membre de cabinet ministériel - Economie et finances, Affaires étrangères et développement international;;
3875;Membre du Gouvernement ou membre de cabinet ministériel;Premier ministre;
3875;Membre du Gouvernement ou membre de cabinet ministériel; Economie et finances;
3875;Membre du Gouvernement ou membre de cabinet ministériel - Premier ministre, Economie et finances;;
3877;Membre du Gouvernement ou membre de cabinet ministériel;Economie et finances;
3877;Membre du Gouvernement ou membre de cabinet ministériel - Economie et finances;;
3878;Membre du Gouvernement ou membre de cabinet ministériel;Intérieur;
3878;Membre du Gouvernement ou membre de cabinet ministériel - Intérieur;;
3879;Membre du Gouvernement ou membre de cabinet ministériel;Environnement;
3879;Membre du Gouvernement ou membre de cabinet ministériel; énergie et mer;
3879;Membre du Gouvernement ou membre de cabinet ministériel - Environnement, énergie et mer;;
3880;Membre du Gouvernement ou membre de cabinet ministériel;Ville;
3880;Membre du Gouvernement ou membre de cabinet ministériel; jeunesse et sport;
3880;Membre du Gouvernement ou membre de cabinet ministériel; Education nationale;
3880;Membre du Gouvernement ou membre de cabinet ministériel; enseignement supérieur et recherche;
3880;Membre du Gouvernement ou membre de cabinet ministériel - Ville, jeunesse et sport, Education nationale, enseignement supérieur et recherche;;
3881;Membre du Gouvernement ou membre de cabinet ministériel;Education nationale;
3881;Membre du Gouvernement ou membre de cabinet ministériel; enseignement supérieur et recherche;
3881;Membre du Gouvernement ou membre de cabinet ministériel - Education nationale, enseignement supérieur et recherche;;
3882;Membre du Gouvernement ou membre de cabinet ministériel;Outre-mer;
3882;Membre du Gouvernement ou membre de cabinet ministériel - Outre-mer;;
3883;Membre du Gouvernement ou membre de cabinet ministériel;Education nationale;
3883;Membre du Gouvernement ou membre de cabinet ministériel; enseignement supérieur et recherche;
3883;Membre du Gouvernement ou membre de cabinet ministériel - Education nationale, enseignement supérieur et recherche;;
3884;Membre du Gouvernement ou membre de cabinet ministériel;Culture et communication;
3884;Membre du Gouvernement ou membre de cabinet ministériel - Culture et communication;;
3885;Membre du Gouvernement ou membre de cabinet ministériel;Fonction publique;
3885;Membre du Gouvernement ou membre de cabinet ministériel; Agriculture;
3885;Membre du Gouvernement ou membre de cabinet ministériel; agroalimentaire et forêt;
3885;Membre du Gouvernement ou membre de cabinet ministériel; Travail;
3885;Membre du Gouvernement ou membre de cabinet ministériel; emploi;
3885;Membre du Gouvernement ou membre de cabinet ministériel; formation professionnelle et dialogue social;
3885;Membre du Gouvernement ou membre de cabinet ministériel; Aménagement du territoire;
3885;Membre du Gouvernement ou membre de cabinet ministériel; ruralité et collectivités territoriales;
3885;Membre du Gouvernement ou membre de cabinet ministériel - Fonction publique, Agriculture, agroalimentaire et forêt, Travail, emploi, formation professionnelle et dialogue social, Aménagement du territoire, ruralité et collectivités territoriales;;
3889;Membre du Gouvernement ou membre de cabinet ministériel;Aménagement du territoire;
3889;Membre du Gouvernement ou membre de cabinet ministériel; ruralité et collectivités territoriales;
3889;Membre du Gouvernement ou membre de cabinet ministériel - Aménagement du territoire, ruralité et collectivités territoriales;;
3892;Membre du Gouvernement ou membre de cabinet ministériel;Aménagement du territoire;
3892;Membre du Gouvernement ou membre de cabinet ministériel; ruralité et collectivités territoriales;
3892;Membre du Gouvernement ou membre de cabinet ministériel - Aménagement du territoire, ruralité et collectivités territoriales;;
3893;Membre du Gouvernement ou membre de cabinet ministériel;Agriculture;
3893;Membre du Gouvernement ou membre de cabinet ministériel; agroalimentaire et forêt;
3893;Membre du Gouvernement ou membre de cabinet ministériel - Agriculture, agroalimentaire et forêt;;
3894;Membre du Gouvernement ou membre de cabinet ministériel;Aménagement du territoire;
3894;Membre du Gouvernement ou membre de cabinet ministériel; ruralité et collectivités territoriales;
3894;Membre du Gouvernement ou membre de cabinet ministériel - Aménagement du territoire, ruralité et collectivités territoriales;;
3896;Membre du Gouvernement ou membre de cabinet ministériel;Aménagement du territoire;
3896;Membre du Gouvernement ou membre de cabinet ministériel; ruralité et collectivités territoriales;
3896;Membre du Gouvernement ou membre de cabinet ministériel - Aménagement du territoire, ruralité et collectivités territoriales;;
3897;Membre du Gouvernement ou membre de cabinet ministériel;Fonction publique;
3897;Membre du Gouvernement ou membre de cabinet ministériel - Fonction publique;;
3898;Membre du Gouvernement ou membre de cabinet ministériel;Fonction publique;
3898;Membre du Gouvernement ou membre de cabinet ministériel - Fonction publique;;
3900;Membre du Gouvernement ou membre de cabinet ministériel;Fonction publique;le préfet du Bas-Rhin 
3900;Membre du Gouvernement ou membre de cabinet ministériel; Autres : à préciser;le préfet du Bas-Rhin 
3900;Membre du Gouvernement ou membre de cabinet ministériel - Fonction publique, Autres : à préciser;;le préfet du Bas-Rhin 
3901;Membre du Gouvernement ou membre de cabinet ministériel;Premier ministre;
3901;Membre du Gouvernement ou membre de cabinet ministériel; Environnement;
3901;Membre du Gouvernement ou membre de cabinet ministériel; énergie et mer;
3901;Membre du Gouvernement ou membre de cabinet ministériel - Premier ministre, Environnement, énergie et mer;;
3902;Membre du Gouvernement ou membre de cabinet ministériel;Premier ministre;
3902;Membre du Gouvernement ou membre de cabinet ministériel; Environnement;
3902;Membre du Gouvernement ou membre de cabinet ministériel; énergie et mer;
3902;Membre du Gouvernement ou membre de cabinet ministériel - Premier ministre, Environnement, énergie et mer;;
3903;Membre du Gouvernement ou membre de cabinet ministériel;Premier ministre;
3903;Membre du Gouvernement ou membre de cabinet ministériel; Environnement;
3903;Membre du Gouvernement ou membre de cabinet ministériel; énergie et mer;
3903;Membre du Gouvernement ou membre de cabinet ministériel - Premier ministre, Environnement, énergie et mer;;
3904;Membre du Gouvernement ou membre de cabinet ministériel;Premier ministre;
3904;Membre du Gouvernement ou membre de cabinet ministériel; Environnement;
3904;Membre du Gouvernement ou membre de cabinet ministériel; énergie et mer;
3904;Membre du Gouvernement ou membre de cabinet ministériel - Premier ministre, Environnement, énergie et mer;;
3905;Membre du Gouvernement ou membre de cabinet ministériel;Premier ministre;
3905;Membre du Gouvernement ou membre de cabinet ministériel; Environnement;
3905;Membre du Gouvernement ou membre de cabinet ministériel; énergie et mer;
3905;Membre du Gouvernement ou membre de cabinet ministériel - Premier ministre, Environnement, énergie et mer;;
3906;Membre du Gouvernement ou membre de cabinet ministériel;Premier ministre;
3906;Membre du Gouvernement ou membre de cabinet ministériel; Environnement;
3906;Membre du Gouvernement ou membre de cabinet ministériel; énergie et mer;
3906;Membre du Gouvernement ou membre de cabinet ministériel - Premier ministre, Environnement, énergie et mer;;
3907;Membre du Gouvernement ou membre de cabinet ministériel;Premier ministre;
3907;Membre du Gouvernement ou membre de cabinet ministériel; Environnement;
3907;Membre du Gouvernement ou membre de cabinet ministériel; énergie et mer;
3907;Membre du Gouvernement ou membre de cabinet ministériel - Premier ministre, Environnement, énergie et mer;;
3908;Membre du Gouvernement ou membre de cabinet ministériel;Autres : à préciser;Président de la république, Premier ministre, Ministre agriculture alimentation, Ministre TES
3908;Membre du Gouvernement ou membre de cabinet ministériel - Autres : à préciser;;Président de la république, Premier ministre, Ministre agriculture alimentation, Ministre TES
3909;Membre du Gouvernement ou membre de cabinet ministériel;Premier ministre;
3909;Membre du Gouvernement ou membre de cabinet ministériel; Agriculture;
3909;Membre du Gouvernement ou membre de cabinet ministériel; agroalimentaire et forêt;
3909;Membre du Gouvernement ou membre de cabinet ministériel; Environnement;
3909;Membre du Gouvernement ou membre de cabinet ministériel; énergie et mer;
3909;Membre du Gouvernement ou membre de cabinet ministériel; Outre-mer;
3909;Membre du Gouvernement ou membre de cabinet ministériel - Premier ministre, Agriculture, agroalimentaire et forêt, Environnement, énergie et mer, Outre-mer;;
3910;Membre du Gouvernement ou membre de cabinet ministériel;Agriculture;
3910;Membre du Gouvernement ou membre de cabinet ministériel; agroalimentaire et forêt;
3910;Membre du Gouvernement ou membre de cabinet ministériel - Agriculture, agroalimentaire et forêt;;
3911;Membre du Gouvernement ou membre de cabinet ministériel;Fonction publique;
