action_representation_interet_id;responsable_public;departement_ministeriel;responsable_public_ou_dpt_ministeriel_autre
92;Membre du Gouvernement ou membre de cabinet ministériel; emploi;
92;Membre du Gouvernement ou membre de cabinet ministériel; formation professionnelle et dialogue social;
92;Membre du Gouvernement ou membre de cabinet ministériel - Travail, emploi, formation professionnelle et dialogue social;;
98;Membre du Gouvernement ou membre de cabinet ministériel;Economie et finances;
98;Membre du Gouvernement ou membre de cabinet ministériel - Economie et finances;;
120;Membre du Gouvernement ou membre de cabinet ministériel;Economie et finances;
120;Membre du Gouvernement ou membre de cabinet ministériel - Economie et finances;;
122;Membre du Gouvernement ou membre de cabinet ministériel;Affaires sociales et santé;
122;Membre du Gouvernement ou membre de cabinet ministériel - Affaires sociales et santé;;
123;Membre du Gouvernement ou membre de cabinet ministériel;Economie et finances;
123;Membre du Gouvernement ou membre de cabinet ministériel; Environnement;
123;Membre du Gouvernement ou membre de cabinet ministériel; énergie et mer;
123;Membre du Gouvernement ou membre de cabinet ministériel - Economie et finances, Environnement, énergie et mer;;
124;Membre du Gouvernement ou membre de cabinet ministériel;Premier ministre;
124;Membre du Gouvernement ou membre de cabinet ministériel; Agriculture;
124;Membre du Gouvernement ou membre de cabinet ministériel; agroalimentaire et forêt;
124;Membre du Gouvernement ou membre de cabinet ministériel; Economie et finances;
124;Membre du Gouvernement ou membre de cabinet ministériel; Environnement;
124;Membre du Gouvernement ou membre de cabinet ministériel; énergie et mer;
124;Membre du Gouvernement ou membre de cabinet ministériel - Premier ministre, Agriculture, agroalimentaire et forêt, Economie et finances, Environnement, énergie et mer;;
125;Membre du Gouvernement ou membre de cabinet ministériel;Agriculture;
125;Membre du Gouvernement ou membre de cabinet ministériel; agroalimentaire et forêt;
125;Membre du Gouvernement ou membre de cabinet ministériel; Affaires sociales et santé;
125;Membre du Gouvernement ou membre de cabinet ministériel - Agriculture, agroalimentaire et forêt, Affaires sociales et santé;;
126;Membre du Gouvernement ou membre de cabinet ministériel;Affaires étrangères et développement international;
126;Membre du Gouvernement ou membre de cabinet ministériel - Affaires étrangères et développement international;;
127;Membre du Gouvernement ou membre de cabinet ministériel;Environnement;
127;Membre du Gouvernement ou membre de cabinet ministériel; énergie et mer;
127;Membre du Gouvernement ou membre de cabinet ministériel - Environnement, énergie et mer;;
128;Membre du Gouvernement ou membre de cabinet ministériel;Agriculture;
128;Membre du Gouvernement ou membre de cabinet ministériel; agroalimentaire et forêt;
128;Membre du Gouvernement ou membre de cabinet ministériel - Agriculture, agroalimentaire et forêt;;
129;Membre du Gouvernement ou membre de cabinet ministériel;Autres : à préciser;Dans le cadre défini par la loi n°2013-907 du 11 octobre 2013, CACEIS n'est entré en communication avec aucune des catégories de responsables publics indiquées.
129;Membre du Gouvernement ou membre de cabinet ministériel - Autres : à préciser;;Dans le cadre défini par la loi n°2013-907 du 11 octobre 2013, CACEIS n'est entré en communication avec aucune des catégories de responsables publics indiquées.
130;Membre du Gouvernement ou membre de cabinet ministériel;Autres : à préciser;Dans le cadre défini par la loi n°2013-907 du 11 octobre 2013, CACEIS n’est entré en communication avec aucune des catégories de responsables publics indiquées.
130;Membre du Gouvernement ou membre de cabinet ministériel - Autres : à préciser;;Dans le cadre défini par la loi n°2013-907 du 11 octobre 2013, CACEIS n’est entré en communication avec aucune des catégories de responsables publics indiquées.
142;Membre du Gouvernement ou membre de cabinet ministériel;Economie et finances;
142;Membre du Gouvernement ou membre de cabinet ministériel - Economie et finances;;
146;Membre du Gouvernement ou membre de cabinet ministériel;Economie et finances;
146;Membre du Gouvernement ou membre de cabinet ministériel - Economie et finances;;
147;Membre du Gouvernement ou membre de cabinet ministériel;Economie et finances;
147;Membre du Gouvernement ou membre de cabinet ministériel - Economie et finances;;
148;Membre du Gouvernement ou membre de cabinet ministériel;Economie et finances;
148;Membre du Gouvernement ou membre de cabinet ministériel - Economie et finances;;
149;Membre du Gouvernement ou membre de cabinet ministériel;Economie et finances;
149;Membre du Gouvernement ou membre de cabinet ministériel - Economie et finances;;
150;Membre du Gouvernement ou membre de cabinet ministériel;Economie et finances;
150;Membre du Gouvernement ou membre de cabinet ministériel - Economie et finances;;
151;Membre du Gouvernement ou membre de cabinet ministériel;Economie et finances;
151;Membre du Gouvernement ou membre de cabinet ministériel - Economie et finances;;
152;Membre du Gouvernement ou membre de cabinet ministériel;Economie et finances;
152;Membre du Gouvernement ou membre de cabinet ministériel - Economie et finances;;
153;Membre du Gouvernement ou membre de cabinet ministériel;Premier ministre;
